id,name,description,reference,movement,manufacturer,manufacturer_location,average_rating,image_url,style
1,Rolex Submariner,Iconic dive watch with timeless design,5513,Rolex 1520,Rolex,Switzerland,4.9,https://example.com/rolex_submariner.jpg,Diver's Watch
2,Omega Speedmaster Professional,Moonwatch with legendary space exploration history,145.022,Omega 861,Omega,Switzerland,4.8,https://example.com/omega_speedmaster.jpg,Chronograph Watch
3,Audemars Piguet Royal Oak,Revolutionary luxury sports watch with octagonal bezel,15202,Audemars Piguet 2121,Audemars Piguet,Switzerland,4.7,https://example.com/ap_royal_oak.jpg,Luxury Watch
4,Patek Philippe Nautilus,Highly sought-after luxury sports watch with distinctive porthole design,5711/1A-010,Patek Philippe 3240,Patek Philippe,Switzerland,4.9,https://example.com/patek_philippe_nautilus.jpg,Luxury Watch
5,Seiko 6139 Pogue,Vintage chronograph with colorful dial, worn by astronauts,6139-6002,Seiko 6139,Japan,4.6,https://example.com/seiko_6139_pogue.jpg,Chronograph Watch
6,Tudor Black Bay Fifty-Eight,Vintage-inspired dive watch with slim profile,M79030N,Tudor MT5402,Tudor,Switzerland,4.8,https://example.com/tudor_black_bay_fifty_eight.jpg,Diver's Watch
7,Grand Seiko Snowflake,Elegant and distinctive watch with unique textured dial,SBGA211,Grand Seiko 9R65,Grand Seiko,Japan,4.9,https://example.com/grand_seiko_snowflake.jpg,Dress Watch
8,Cartier Tank,Iconic rectangular-shaped watch with elegant design,W5200027,Cartier 430 MC,Cartier,Switzerland,4.7,https://example.com/cartier_tank.jpg,Dress Watch
9,Breitling Navitimer,Aviator's chronograph with distinctive slide rule bezel,A2432212/B726,Breitling B01,Breitling,Switzerland,4.8,https://example.com/breitling_navitimer.jpg,Chronograph Watch
10,Sinn 556,Minimalist and robust German watch with excellent craftsmanship,556.010,Sinn SW200,Sinn,Germany,4.6,https://example.com/sinn_556.jpg,Dress Watch
11,Vacheron Constantin Overseas,Luxury sports watch with versatile design and high-end finish,4500V/110A-B128,Vacheron Constantin 5100,Vacheron Constantin,Switzerland,4.9,https://example.com/vacheron_constantin_overseas.jpg,Luxury Watch
12,Rolex GMT-Master II Pepsi,Iconic dual-timezone watch with blue and red bezel,126710BLRO,Rolex 3285,Rolex,Switzerland,4.8,https://example.com/rolex_gmt_master_pepsi.jpg,GMT Watch
13,Omega Seamaster 300,Classic dive watch with vintage-inspired design and advanced technology,234.30.41.21.03.001,Omega 8800,Omega,Switzerland,4.7,https://example.com/omega_seamaster_300.jpg,Diver's Watch
14,Audemars Piguet Royal Oak Offshore,Bold and robust luxury sports watch with oversized proportions,26400SO.OO.A002CA.01,Audemars Piguet 3126,Audemars Piguet,Switzerland,4.9,https://example.com/ap_royal_oak_offshore.jpg,Luxury Watch
15,Patek Philippe Calatrava,Elegant and timeless dress watch with clean design,5227R-001,Patek Philippe 3240,Patek Philippe,Switzerland,4.8,https://example.com/patek_philippe_calatrava.jpg,Dress Watch
16,Seiko Prospex SRP777,Affordable and reliable diver's watch with automatic movement,SRP777K1,Seiko 4R36,Seiko,Japan,4.7,https://example.com/seiko_prospex_srp777.jpg,Diver's Watch
17,Tudor Black Bay GMT,Traveler's watch with dual-timezone functionality,M79830RB,Tudor MT5652,Tudor,Switzerland,4.8,https://example.com/tudor_black_bay_gmt.jpg,GMT Watch
18,Grand Seiko Spring Drive,High-precision watch with innovative mechanical-electrical movement,SBGA211,Grand Seiko 9RA,Grand Seiko,Japan,4.9,https://example.com/grand_seiko_spring_drive.jpg,Dress Watch
19,Cartier Santos,Timeless and sophisticated watch with square case and exposed screws,WSSA0030,Cartier 1847 MC,Cartier,Switzerland,4.7,https://example.com/cartier_santos.jpg,Dress Watch
20,Breitling Superocean,Professional diver's watch with exceptional water resistance,A17367D71B1S1,Breitling B17,Breitling,Switzerland,4.8,https://example.com/breitling_superocean.jpg,Diver's Watch
21,Sinn U1,Robust and functional German diver's watch with excellent legibility,UI,Sinn SW200,Sinn,Germany,4.7,https://example.com/sinn_u1.jpg,Diver's Watch
22,Vacheron Constantin Patrimony,Classic and refined dress watch with timeless elegance,85180/000R-9239,Vacheron Constantin 2450,Vacheron Constantin,Switzerland,4.9,https://example.com/vacheron_constantin_patrimony.jpg,Dress Watch
23,Rolex Daytona,Iconic chronograph watch with tachymeter scale and racing heritage,116500,Rolex 4130,Rolex,Switzerland,4.8,https://example.com/rolex_daytona.jpg,Chronograph Watch
24,Omega Seamaster Aqua Terra,Versatile and elegant watch with sporty yet refined design,220.10.41.21.03.001,Omega 8900,Omega,Switzerland,4.7,https://example.com/omega_seamaster_aqua_terra.jpg,Dress Watch
